pixel_id,skycell,sx_i,sy_i,n_in_bin,worst_frac_dist,worst_disagree,worst_d_tess_mean,typical_disagree_median,frac_span_x,frac_span_y
projection_boundary_0a,skycell.2581.050,0,0,99,1.0668992183437191,0.0148,0.013559753860790632,0.007233333333333333,0.684301995770511,0.902008118348931
projection_boundary_0a,skycell.2581.050,0,1,6,0.14495581831094656,0.002266666666666667,0.0017787081621028354,0.0011666666666666665,0.11642290783493081,0.12891267365876047
projection_boundary_0a,skycell.2581.050,1,-1,77,1.0600611383097354,0.018133333333333335,0.013240400175400537,0.0067,0.910815468414512,0.5538993050654426
projection_boundary_0a,skycell.2581.050,1,0,18,0.2926062280817803,0.0051333333333333335,0.0036739936404039278,0.0028,0.2752574390360678,0.18419850641521407
projection_boundary_0a,skycell.2581.050,2,-2,3,0.26821454417807505,0.005066666666666666,0.0033049369941645732,0.0015333333333333334,0.2597181582823396,0.06697402456984491
projection_boundary_0a,skycell.2581.050,2,-1,57,0.973489255023873,0.0176,0.012162654206961094,0.007033333333333333,0.8590517851225741,0.5097532348104323
projection_boundary_0a,skycell.2581.050,3,-2,29,1.2130274506114629,0.019066666666666666,0.01525924805544974,0.007299999999999999,0.9678889164388238,0.7790477480543814
projection_boundary_0a,skycell.2581.050,3,-1,3,0.12498989771281986,0.0017333333333333333,0.001526068135340892,0.00046666666666666666,0.12436997052645893,0.017688913746496837
projection_boundary_0a,skycell.2581.050,4,-3,2,0.12745126201044116,0.0026666666666666666,0.0015919079246376924,0.0026666666666666666,0.1105286792771949,0.06346050145793924
projection_boundary_0a,skycell.2581.050,4,-2,2,0.018527205392959246,0.0003333333333333333,0.00022601002037616472,0.0003333333333333333,0.01384965101533453,0.012306279146287125
